组间总显著性,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
PSTD+HC,1239.0,884.0,1262.0,
组间不同血红蛋白显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
oxy,386.0,282.0,411.0,
dxy,356.0,257.0,352.0,
total,497.0,345.0,499.0,
组间不同通道连接显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
736,1.0,1.0,1.0,
737,1.0,1.0,1.0,
738,0.0,0.0,0.0,
739,0.0,0.0,0.0,
740,0.0,0.0,0.0,
741,0.0,0.0,0.0,
742,1.0,0.0,1.0,
743,1.0,0.0,1.0,
744,0.0,0.0,0.0,
745,0.0,0.0,0.0,
746,0.0,0.0,0.0,
747,0.0,0.0,0.0,
748,0.0,0.0,0.0,
749,0.0,0.0,0.0,
750,4.0,2.0,6.0,
751,0.0,0.0,0.0,
752,0.0,0.0,0.0,
753,1.0,1.0,1.0,
754,1.0,1.0,2.0,
755,1.0,1.0,2.0,
756,0.0,0.0,0.0,
757,2.0,1.0,2.0,
758,2.0,1.0,2.0,
759,5.0,1.0,5.0,
760,1.0,0.0,2.0,
761,1.0,0.0,2.0,
762,0.0,0.0,1.0,
763,0.0,0.0,0.0,
764,0.0,0.0,0.0,
765,1.0,0.0,2.0,
766,1.0,1.0,1.0,
767,1.0,1.0,1.0,
768,0.0,0.0,1.0,
769,5.0,4.0,6.0,
770,5.0,4.0,6.0,
771,0.0,0.0,0.0,
772,1.0,1.0,1.0,
773,1.0,1.0,1.0,
774,2.0,1.0,2.0,
775,1.0,0.0,2.0,
776,1.0,0.0,2.0,
777,1.0,1.0,1.0,
778,1.0,0.0,2.0,
779,1.0,0.0,2.0,
780,0.0,0.0,0.0,
781,1.0,0.0,1.0,
782,1.0,0.0,1.0,
783,3.0,3.0,3.0,
784,1.0,1.0,0.0,
785,1.0,1.0,0.0,
786,2.0,2.0,1.0,
787,1.0,1.0,1.0,
788,1.0,1.0,1.0,
789,1.0,0.0,1.0,
790,2.0,0.0,1.0,
791,2.0,0.0,1.0,
792,0.0,0.0,0.0,
793,1.0,1.0,1.0,
794,1.0,1.0,1.0,
795,1.0,1.0,1.0,
796,0.0,0.0,0.0,
797,0.0,0.0,0.0,
798,1.0,1.0,1.0,
799,0.0,0.0,0.0,
800,0.0,0.0,0.0,
801,1.0,1.0,1.0,
802,0.0,0.0,1.0,
803,0.0,0.0,1.0,
804,3.0,3.0,2.0,
805,1.0,1.0,2.0,
806,1.0,1.0,2.0,
807,1.0,1.0,1.0,
808,3.0,2.0,2.0,
809,3.0,2.0,2.0,
810,1.0,1.0,1.0,
811,3.0,3.0,4.0,
812,3.0,3.0,4.0,
813,4.0,3.0,4.0,
814,1.0,0.0,1.0,
815,1.0,0.0,1.0,
816,3.0,1.0,2.0,
817,1.0,1.0,1.0,
818,1.0,1.0,1.0,
819,0.0,0.0,0.0,
820,1.0,1.0,1.0,
821,1.0,1.0,1.0,
822,0.0,0.0,0.0,
823,1.0,1.0,1.0,
824,1.0,1.0,1.0,
825,0.0,0.0,0.0,
826,2.0,2.0,2.0,
827,2.0,2.0,2.0,
828,1.0,1.0,0.0,
829,2.0,2.0,2.0,
830,2.0,2.0,2.0,
831,0.0,0.0,0.0,
832,2.0,2.0,2.0,
833,2.0,2.0,2.0,
834,0.0,0.0,2.0,
835,1.0,0.0,1.0,
836,1.0,0.0,1.0,
837,0.0,0.0,0.0,
838,1.0,0.0,1.0,
839,1.0,0.0,1.0,
840,1.0,1.0,0.0,
841,2.0,2.0,2.0,
842,2.0,2.0,2.0,
843,2.0,2.0,1.0,
844,1.0,1.0,0.0,
845,1.0,1.0,0.0,
846,0.0,0.0,0.0,
847,0.0,0.0,0.0,
848,0.0,0.0,0.0,
849,0.0,0.0,0.0,
850,1.0,1.0,1.0,
851,1.0,1.0,1.0,
852,3.0,3.0,3.0,
853,3.0,2.0,4.0,
854,3.0,2.0,4.0,
855,5.0,3.0,5.0,
856,1.0,1.0,2.0,
857,1.0,1.0,2.0,
858,0.0,0.0,0.0,
859,3.0,2.0,3.0,
860,3.0,2.0,3.0,
861,2.0,0.0,3.0,
862,1.0,0.0,0.0,
863,1.0,0.0,0.0,
864,5.0,2.0,4.0,
865,2.0,2.0,2.0,
